N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
155,이수페타시스,"27,200",650,+2.45%,"1,000","17,203","63,246",8.87,"1,730,483",20.12,58.92,
156,효성중공업,"184,200","1,100",+0.60%,"5,000","17,176","9,325",10.04,"34,573",27.77,1.07,
157,OCI홀딩스,"103,500","5,400",+5.50%,"5,000","16,987","16,413",20.54,"364,055",1.95,25.21,
158,현대엘리베이,"43,250",450,+1.05%,"5,000","16,907","39,092",26.64,"175,103",5.82,6.89,
159,동서,"16,880",180,-1.06%,500,"16,829","99,700",3.54,"103,581",9.32,11.33,
160,KG모빌리티,"8,750",260,-2.89%,"5,000","16,359","186,956",25.69,"590,206",265.15,-12.10,
161,현대위아,"59,800","1,200",+2.05%,"5,000","16,263","27,195",12.15,"118,549",-11.29,1.99,
162,TIGER 미국테크TOP10 INDXX,"13,625",195,-1.41%,0,"15,873","116,500",0.00,"890,973",N/A,N/A,
163,대한전선,"12,550",10,-0.08%,"1,000","15,618","124,447",3.55,"524,332",37.57,3.32,
164,HD현대건설기계,"79,000","3,500",+4.64%,"5,000","15,564","19,701",27.84,"183,663",8.64,7.99,
165,효성티앤씨,"355,000","5,500",-1.53%,"5,000","15,363","4,328",9.50,"17,079",-47.75,0.88,
166,현대백화점,"64,900",400,-0.61%,"5,000","15,188","23,402",19.85,"55,687",13.76,3.20,
167,에스엘,"32,600",0,0.00%,500,"15,142","46,449",15.16,"58,602",6.08,9.87,
168,한전KPS,"33,600",100,+0.30%,200,"15,120","45,000",9.26,"81,375",10.68,8.61,
169,TIGER TOP10,"10,990",50,-0.45%,0,"15,111","137,500",11.15,"114,172",N/A,N/A,
170,솔루엠,"30,100",200,+0.67%,500,"15,052","50,006",20.07,"417,460",13.99,16.93,
171,삼아알미늄,"102,000","2,500",+2.51%,500,"15,006","14,712",38.96,"39,992",110.15,13.24,
172,롯데정밀화학,"58,000",200,-0.34%,"5,000","14,964","25,800",21.06,"51,908",5.49,6.51,
173,SK네트웍스,"6,330",70,-1.09%,"2,500","14,925","235,778",10.38,"347,953",33.14,3.88,
174,동원산업,"31,800",450,-1.40%,"1,000","14,781","46,483",1.88,"20,954",7.87,8.53,
175,TIGER 미국필라델피아반도체나스닥,"11,980",130,-1.07%,0,"14,711","122,800",0.15,"807,962",N/A,N/A,
176,KODEX 단기채권PLUS,"107,775",10,+0.01%,0,"14,498","13,452",0.19,"8,243",N/A,N/A,
177,오뚜기,"358,500","5,000",-1.38%,"5,000","14,368","4,008",9.93,"4,997",5.20,16.53,
178,코스맥스,"126,300","2,400",-1.86%,500,"14,334","11,350",31.94,"79,115",45.91,3.65,
179,삼양식품,"189,800","2,100",+1.12%,"5,000","14,298","7,533",13.08,"27,443",15.80,18.92,
180,에스디바이오센서,"11,390",160,-1.39%,500,"14,178","124,477",6.26,"470,386",-5.69,35.30,
181,SK가스,"153,200",100,+0.07%,"5,000","14,141","9,230",5.92,"43,992",5.42,11.53,
182,TCC스틸,"53,100",600,+1.14%,"1,000","13,919","26,214",6.14,"209,182","-2,124.00",16.54,
183,코스모화학,"39,100",150,-0.38%,"1,000","13,688","35,008",3.75,"151,719",-117.42,6.13,
184,DGB금융지주,"8,080",40,+0.50%,"5,000","13,667","169,146",44.20,"373,654",3.21,7.38,
185,LX세미콘,"83,800","2,000",+2.44%,500,"13,629","16,264",26.72,"80,236",14.53,26.70,
186,한샘,"57,700","1,500",+2.67%,"1,000","13,579","23,534",13.81,"22,339",-12.95,-13.37,
187,하이트진로,"19,320",360,-1.83%,"5,000","13,550","70,134",9.42,"154,694",48.18,7.72,
188,두산퓨얼셀,"20,550",500,-2.38%,100,"13,459","65,494",13.38,"443,171",203.47,0.74,
189,한올바이오파마,"25,600",0,0.00%,500,"13,374","52,241",8.04,"386,178",206.45,0.15,
190,금호타이어,"4,630",80,+1.76%,"5,000","13,300","287,260",4.59,"441,986","-1,543.33",-6.87,
191,TIGER 2차전지테마,"30,225",150,-0.49%,0,"13,299","44,000",0.40,"612,743",N/A,N/A,
192,효성,"62,700",300,-0.48%,"5,000","13,212","21,071",5.74,"11,236",-18.14,0.60,
193,대덕전자,"26,500",600,+2.32%,500,"13,095","49,417",9.16,"366,264",12.61,23.94,
194,KBSTAR 200,"33,440",100,-0.30%,0,"12,824","38,350",0.06,"1,392,475",N/A,N/A,
195,녹십자,"109,700","1,100",-0.99%,"5,000","12,820","11,687",18.47,"23,705",50.39,5.03,
196,코오롱인더,"45,900",750,-1.61%,"5,000","12,631","27,519",12.47,"153,459",12.11,7.13,
197,GS건설,"14,210",210,-1.46%,"5,000","12,161","85,581",20.38,"501,372",-11.33,7.18,
198,대웅제약,"104,400",700,-0.67%,"2,500","12,096","11,587",9.50,"12,733",23.58,7.17,
199,이수스페셜티케미컬,"215,500","3,500",-1.60%,"5,000","12,065","5,599",3.50,"43,835",N/A,N/A,
200,코리안리,"8,530",220,-2.51%,500,"12,012","140,823",30.62,"447,871",3.53,5.91,
